[Needs]
NE01 | Need | Better water pressure
NE02 | Need | Faster hot water delivery
NE03 | Need | More usable space
NE04 | Need | Lower running costs
NE05 | Need | Easier controls
NE06 | Need | Quieter operation
NE07 | Need | Future-ready system

[Working at heights]
WAH01 | Access | Ladder access required
WAH02A | Scaffold | Tower – standard
WAH02B | Scaffold | Tower – bridging
WAH02C | Scaffold | Cantilever
WAH03 | Roof access | Permit required
WAH04A | Loft access | Boarded
WAH04B | Loft access | Unboarded
WAH05 | Access | MEWP required
WAH06 | Flat roof | Specialist builder to make good
WAH50 | Ladder | 1:4 angle (≈75°) – ~250 mm out per metre rise; secure footing
WAH51 | Reach | Max practical ladder reach ≈6 m; >2 storeys or >45° roof = scaffold
WAH52 | Roof | Flat roof work requires edge protection or 2 m exclusion from edge
WAH53 | Loft | Boiler weight ≤≈35 kg for safe loft handling; use two-person lift if needed
WAH54 | Access | Fixed loft ladder and permanent lighting required for service access

[System characteristics]
SE00 | Existing system
SE01 | System type | Regular (open-vented with F&E tank)
SE02 | System type | Regular (sealed system kit present)
SE03 | Hot water | System boiler – open-vented
SE04 | Hot water | System boiler – unvented
SE05 | Configuration | Y-plan (3-port valve)
SE06 | Configuration | S-plan (2-port valves)
SE07 | Configuration | Gravity primaries
SE08 | Legacy install | Combi present
SE09 | Pipework | Microbore
SE10 | System pressure | Low
SE11 | Controls | Mechanical timer / room stat
SE12 | Controls | Hard-wired only
SN00 | New boiler
SN01 | System type | Combi boiler
SN02 | System type | System boiler with unvented cylinder
SN03 | System type | System boiler with Mixergy cylinder
SN04 | System type | Regular boiler with open-vented hot water
SN05 | System type | Regular boiler with unvented hot water
SN06 | Heating circuit | Open-vented
SN07 | Heating circuit | Sealed / pressurised
SN08 | Heating zones | TRVs on all radiators
SN09 | Heating zones | Additional zone(s) via 2-port valves
SN10 | Heating zones | Existing Y-plan retained
SN11 | Controls compatibility | Hive
SN12 | Controls compatibility | Hive Mini
SN13 | Controls preference | Simple / manual
SC50 | System Type | Combi – instantaneous DHW; no tanks
SC51 | System Type | System – sealed with cylinder; built-in pump/expansion vessel
SC52 | System Type | Regular – open-vented with F&E tank
SC53 | System Pressure | Sealed system may expose latent leaks – advise & record disclaimer
SC54 | Pipework | 22 mm primaries typical; 28 mm if >24 kW or long runs/high resistance
SC55 | Pipework | One-pipe system not suitable for modern boilers – recommend re-pipe
SC56 | Pipework | Galvanised/steel pipework – replace rather than flush
SC57 | Water Softeners | Worcester allows softened water through primary HX
SC58 | Water Softeners | Vaillant/Ideal – bypass or hard-fill only (no softened water through HX)
SC59 | Location | Loft installs require boarded area (≈1.5 m radius), fixed ladder & lighting
SC60 | Condensate | External condensate must be insulated/frost-protected

[Arse_cover_notes]
ARS01 | System | Sealing an old system may expose hidden leaks
ARS02 | System | Existing radiators and valves may leak once pressurised
ARS03 | System | Old vented pipework and joints not designed for pressure
ARS04 | System | System converted from open vent to sealed — PRV fitted for safety
ARS05 | System | Early pressure drops may indicate existing weeps/hidden leaks
ARS06 | System | Customer to monitor pressure during initial days of use
ARS07 | System | No liability for existing weaknesses or pre-existing faults
ARS08 | Combi | Combination boilers supply one outlet at a time — flow reduces with multiple use
ARS09 | Combi | Flow rate limited by mains water supply
ARS10 | Combi | Multiple bathrooms reduce performance
ARS11 | Combi | Cold mains restrictions may affect shower performance
ARS12 | Combi | Hot water temperature varies slightly with flow
ARS13 | Combi | Not suitable for pumped showers — remove pump
ARS14 | Combi | Shower performance depends on incoming cold main pressure/flow
ARS15 | Hot water | Stored cylinder water reheats between draws
ARS16 | Hot water | Unvented cylinders require periodic servicing
ARS17 | Hot water | Unvented discharge tested at installation only
ARS18 | Hot water | Recovery time depends on usage pattern
ARS19 | Hot water | No liability for fixtures not designed for mains pressure
ARS20 | Condensate | External route insulated to reduce freezing risk; not guaranteed
